Measure Name,Measure Start Quarter,Measure Start Date,Measure End Quarter,Measure End Date
30-Day Hospital-Wide All-Cause Unplanned Readmission Rate,3Q2011,7/1/2011,2Q2012,6/30/2012
30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),3Q2009,7/1/2009,2Q2012,6/30/2012
Abdomen CT - Use of Contrast Material,1Q2011,1/1/2011,4Q2011,12/31/2011
Accidental puncture or laceration  ,3Q2010,7/1/2010,2Q2012,6/30/2012
ACEI or ARB for LVSD,1Q2012,1/1/2012,4Q2012,12/31/2012
Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Acute Myocardial Infarction (AMI) 30-Day Readmissions,3Q2009,7/1/2009,2Q2012,6/30/2012
Admit Decision Time to ED Departure Time for Admitted Patients,1Q2012,1/1/2012,4Q2012,12/31/2012
Air embolism,3Q2009,7/1/2009,2Q2011,6/30/2011
Aspirin at Arrival,1Q2012,1/1/2012,4Q2012,12/31/2012
Aspirin Prescribed at Discharge,1Q2012,1/1/2012,4Q2012,12/31/2012
Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital,1Q2012,1/1/2012,4Q2012,12/31/2012
Blood incompatibility,3Q2009,7/1/2009,2Q2011,6/30/2011
Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery,1Q2011,1/1/2011,4Q2011,12/31/2011
Cardiac Surgery Patients with Controlled 6 A.M. Postoperative Blood Glucose,1Q2012,1/1/2012,4Q2012,12/31/2012
Catheter Associated Urinary Tract Infections,1Q2012,1/1/2012,4Q2012,12/31/2012
Catheter-associated UTI,3Q2009,7/1/2009,2Q2011,6/30/2011
Central Line Associated Bloodstream Infection,1Q2012,1/1/2012,4Q2012,12/31/2012
Complication Rate Following Elective Primary  Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA),3Q2009,7/1/2009,1Q2012,3/31/2012
Complication/patient safety for selected indicators (composite),3Q2010,7/1/2010,2Q2012,6/30/2012
Death among surgical inpatients with serious treatable complications,3Q2010,7/1/2010,2Q2012,6/30/2012
Discharge Instructions,1Q2012,1/1/2012,4Q2012,12/31/2012
Evaluation of LVS Function,1Q2012,1/1/2012,4Q2012,12/31/2012
Falls and trauma,3Q2009,7/1/2009,2Q2011,6/30/2011
Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,1Q2012,1/1/2012,4Q2012,12/31/2012
Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival,1Q2012,1/1/2012,4Q2012,12/31/2012
Foreign object retained after surgery,3Q2009,7/1/2009,2Q2011,6/30/2011
Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival,1Q2012,1/1/2012,4Q2012,12/31/2012
Heart  Failure (HF) 30-Day Readmission Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Heart Failure (HF) 30-Day Mortality Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Heart Failure (HF) 30-Day Readmissions,3Q2009,7/1/2009,2Q2012,6/30/2012
Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver,1Q2012,1/1/2012,4Q2012,12/31/2012
Hospital Value-Based Purchasing - Baseline Period,3Q2009,7/1/2009,1Q2010,3/31/2010
Hospital Value-Based Purchasing - Performance Period,3Q2011,7/1/2011,1Q2012,3/31/2012
"Iatrogenic pneumothorax, adult",3Q2010,7/1/2010,2Q2012,6/30/2012
Influenza Immunization,1Q2012,1/1/2012,4Q2012,12/31/2012
Initial Antibiotic Selection for CAP in Immunocompetent Patient,1Q2012,1/1/2012,4Q2012,12/31/2012
Left Without Being Seen,1Q2012,1/1/2012,2Q2012,6/30/2012
Mammography Follow-up Rates,1Q2011,1/1/2011,4Q2011,12/31/2011
Manifestations of poor glycemic control,3Q2009,7/1/2009,2Q2011,6/30/2011
Median Time from ED Arrival to ED Departure for Admitted ED Patients,1Q2012,1/1/2012,4Q2012,12/31/2012
Median Time from ED Arrival to ED Departure for Discharged ED Patients,1Q2012,1/1/2012,4Q2012,12/31/2012
Median Time from ED Arrival to Provider Contact for ED patients,1Q2012,1/1/2012,4Q2012,12/31/2012
Median Time to ECG,1Q2012,1/1/2012,4Q2012,12/31/2012
Median Time to Fibrinolysis,1Q2012,1/1/2012,4Q2012,12/31/2012
Median Time to Pain Management for Long Bone Fracture,1Q2012,1/1/2012,4Q2012,12/31/2012
Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate,1Q2012,1/1/2012,4Q2012,12/31/2012
Medicare Spending per Beneficiary,1Q2012,1/1/2012,4Q2012,12/31/2012
MRI Lumbar Spine for Low Back Pain,1Q2011,1/1/2011,4Q2011,12/31/2011
MV,4Q2011,10/1/2011,3Q2012,9/30/2012
Participates in a Systematic Clinical Database Registry for Nursing Sensitive Care,1Q2011,1/1/2011,4Q2011,12/31/2011
Participates in a Systematic Clinical Database Registry for Stroke Care,1Q2011,1/1/2011,4Q2011,12/31/2011
Participates in a Systematic Database for Cardiac Surgery,1Q2011,1/1/2011,4Q2011,12/31/2011
Patient satisfaction survey results,1Q2012,1/1/2012,4Q2012,12/31/2012
Pneumococcal Immunization,1Q2012,1/1/2012,4Q2012,12/31/2012
Pneumonia (PN) 30-Day Mortality Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Pneumonia (PN) 30-Day Readmission Rate,3Q2009,7/1/2009,2Q2012,6/30/2012
Pneumonia (PN) 30-Day Readmissions,3Q2009,7/1/2009,2Q2012,6/30/2012
Post-Operative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT),3Q2010,7/1/2010,2Q2012,6/30/2012
Postoperative wound dehiscence ,3Q2010,7/1/2010,2Q2012,6/30/2012
Pressure ulcer stages III and IV,3Q2009,7/1/2009,2Q2011,6/30/2011
Primary PCI Received Within 90 Minutes of Hospital Arrival,1Q2012,1/1/2012,4Q2012,12/31/2012
Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision,1Q2012,1/1/2012,4Q2012,12/31/2012
Prophylactic Antibiotic Selection for Surgical Patients,1Q2012,1/1/2012,4Q2012,12/31/2012
Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time,1Q2012,1/1/2012,4Q2012,12/31/2012
Relievers for Inpatient Asthma,1Q2012,1/1/2012,4Q2012,12/31/2012
Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT),1Q2011,1/1/2011,4Q2011,12/31/2011
Spending per Hospital Patient with Medicare,2Q2011,5/1/2011,4Q2011,12/31/2011
SSI - Abdominal Hysterectomy,1Q2012,1/1/2012,4Q2012,12/31/2012
SSI - Colon Surgery,1Q2012,1/1/2012,4Q2012,12/31/2012
Statin Prescribed at Discharge,1Q2012,1/1/2012,4Q2012,12/31/2012
Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period,1Q2012,1/1/2012,4Q2012,12/31/2012
Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery,1Q2012,1/1/2012,4Q2012,12/31/2012
Surgery Patients with Perioperative Temperature Management,1Q2012,1/1/2012,4Q2012,12/31/2012
Surgery Patients with Recommended Venous Thromboembolism Prophylaxis Ordered,1Q2012,1/1/2012,4Q2012,12/31/2012
Systemic Corticosteroids for Inpatient Asthma,1Q2012,1/1/2012,4Q2012,12/31/2012
The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC Certified EHR System as Discrete Searchable Data,1Q2012,1/1/2012,2Q2012,6/30/2012
Thorax CT - Use of Contrast Material,1Q2011,1/1/2011,4Q2011,12/31/2011
Timing of Antibiotic Prophylaxis,1Q2012,1/1/2012,4Q2012,12/31/2012
Tracking Clinical Results Between Visits,1Q2012,1/1/2012,2Q2012,6/30/2012
Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero,1Q2012,1/1/2012,4Q2012,12/31/2012
Vascular catheter-associated infection,3Q2009,7/1/2009,2Q2011,6/30/2011
